year,name,model,transmission,km,ownership,fuel,registeration,price
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,18128,1st,Petrol,HR,477220
2021,Mahindra,Mahindra Thar LX D 4*4 MT HT,Manual,6962,1st,Diesel,HR,1702699
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,33088,2nd,Petrol,HR,551899
2020,Renault,Renault Kwid 1.0 RXT Opt,Manual,10717,2nd,Petrol,HR,433999
2019,Hyundai,Hyundai NEW SANTRO ASTA 1.1 MT,Manual,41584,1st,Petrol,DL,487599
2014,Hyundai,Hyundai i10 SPORTZ 1.1 IRDE2,Manual,68664,1st,Petrol,UP,335399
2017,Toyota,Toyota Corolla Altis G AT,Automatic,75764,1st,Petrol,DL,1323999
2019,Renault,Renault TRIBER RXE MT PETROL,Manual,12365,1st,Petrol,DL,496899
2015,Hyundai,Hyundai Elite i20 MAGNA 1.2,Manual,11311,1st,Petrol,UP,499899
2022,Hyundai,Hyundai VENUE S MT 1.2 KAPPA,Manual,14875,1st,Petrol,DL,913299
2018,Hyundai,Hyundai Elite i20 ASTA 1.2 DUAL TONE,Manual,27166,1st,Petrol,DL,671399
2013,Hyundai,Hyundai Santro Xing GL PLUS,Manual,28248,1st,Petrol,DL,281999
2021,Tata,Tata Harrier XT+ 2.0 KRYOTEC,Manual,14291,1st,Diesel,UP,1847399
2015,Maruti,Maruti Swift ZXI,Manual,46000,1st,Petrol,DL,427199
2014,Maruti,Maruti Ciaz ZXI,Manual,60964,1st,Petrol,DL,584699
2011,Maruti,Maruti Wagon R 1.0 VXI,Manual,55096,1st,Petrol,DL,233699
2013,Jaguar,Jaguar XF 2.2 DIESEL,Automatic,28289,2nd,Diesel,DL,1505999
2012,Maruti,Maruti Alto K10 VXI,Manual,67374,1st,Petrol,DL,217599
2017,Hyundai,Hyundai Elite i20 SPORTZ 1.2,Manual,37323,1st,Petrol,DL,597999
2019,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,37726,2nd,Petrol,UP,483399
2019,Hyundai,Hyundai NEW SANTRO SPORTZ 1.1,Manual,29153,1st,Petrol,DL,473499
2018,Tata,Tata Tiago XZA 1.2 REVOTRON,Automatic,52957,1st,Petrol,DL,543899
2018,Maruti,Maruti Dzire VXI AMT,Automatic,42365,1st,Petrol,DL,630199
2014,Maruti,Maruti Swift VXI,Manual,35393,1st,Petrol,HR,451199
2019,Toyota,Toyota Etios Liva V,Manual,31645,1st,Petrol,DL,496099
2018,Maruti,Maruti Alto 800 LXI,Manual,11496,1st,Petrol,DL,342599
2016,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,40738,1st,Petrol,DL,507299
2016,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),Manual,66930,1st,Petrol,DL,582099
2020,Hyundai,Hyundai Creta E,Manual,20910,1st,Diesel,UP,1312299
2019,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,39740,1st,Petrol,HR,496499
2019,Mahindra,Mahindra TUV300 T8,Manual,57567,1st,Diesel,UP,850399
2017,Hyundai,Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,Automatic,9446,1st,Petrol,DL,562799
2019,Maruti,Maruti Swift VXI,Manual,48284,1st,Petrol,HR,554599
2018,Maruti,Maruti Celerio VXI CNG,Manual,74328,1st,Petrol + CNG,DL,464599
2016,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,27924,1st,Petrol,HR,393199
2020,Tata,Tata TIGOR XZ 1.2 REVOTRON,Manual,49481,1st,Petrol + CNG,HR,610799
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 SX VTVT,Manual,84063,2nd,Petrol,DL,418399
2018,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,30266,2nd,Petrol,DL,574299
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,18042,1st,Petrol,DL,479899
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,62638,1st,Petrol,DL,447499
2018,Toyota,Toyota YARIS J MT,Manual,14652,1st,Petrol,DL,807299
2020,Maruti,Maruti S PRESSO VXI PLUS,Manual,20342,2nd,Petrol,DL,412099
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,28246,1st,Petrol,DL,470499
2020,Maruti,Maruti S Cross ALPHA 1.5 SMART HYBRID,Manual,15407,1st,Petrol,HR,943899
2015,Maruti,Maruti Swift LXI OPT,Manual,39646,1st,Petrol,DL,426999
2017,Maruti,Maruti Swift LXI OPT,Manual,57610,1st,Petrol,DL,421049
2020,Honda,Honda City VX MT PETROL,Manual,7632,1st,Petrol,HR,1168999
2021,Maruti,Maruti S PRESSO VXI,Manual,12349,1st,Petrol,DL,439099
2013,Maruti,Maruti Swift Dzire VXI,Manual,82847,2nd,Petrol,UP,342899
2020,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,21853,1st,Petrol,DL,703799
2015,Honda,Honda Jazz 1.2 V MT,Manual,34185,1st,Petrol,HR,494499
2019,Maruti,Maruti Alto 800 LXI,Manual,8469,1st,Petrol,DL,342599
2016,Nissan,Nissan Micra XL CVT (PETROL),Automatic,23557,1st,Petrol,UP,431299
2016,Hyundai,Hyundai Creta 1.6 S,Manual,75101,1st,Petrol,DL,867299
2015,Maruti,Maruti Swift LXI,Manual,33684,2nd,Petrol,DL,400299
2018,Maruti,Maruti Alto K10 VXI,Manual,23827,1st,Petrol,DL,352599
2021,Hyundai,Hyundai VENUE 1.5 SX CRDI MT,Manual,4509,1st,Diesel,UP,1102899
2014,Honda,Honda City V MT PETROL,Manual,49304,1st,Petrol,DL,651899
2019,Maruti,Maruti Alto 800 VXI,Manual,14103,1st,Petrol,HR,340699
2021,Maruti,Maruti Alto VXI,Manual,2132,1st,Petrol,DL,404599
2021,Renault,Renault Duster RXZ CVT 1.3 TURBO,Automatic,10821,1st,Petrol,DL,1438299
2014,Maruti,Maruti Swift LXI,Manual,31511,1st,Petrol,DL,432599
2019,Maruti,Maruti Dzire VXI AMT,Automatic,21477,1st,Petrol,UP,683199
2019,Hyundai,Hyundai Creta 1.6 SX VTVT,Manual,28066,1st,Petrol,DL,1215399
2019,Maruti,Maruti Ciaz DELTA 1.5 SHVS VVT MT,Manual,20539,1st,Petrol,DL,817599
2017,Hyundai,Hyundai Elite i20 ASTA 1.2 DUAL TONE,Manual,18273,1st,Petrol,DL,700499
2020,Hyundai,Hyundai Verna SX(O) PETROL MT,Manual,12290,1st,Petrol,DL,1355799
2017,Maruti,Maruti Alto K10 VXI AMT,Automatic,67975,1st,Petrol,HR,308299
2013,Toyota,Toyota Etios Liva G,Manual,64231,1st,Petrol,UP,335599
2019,Hyundai,Hyundai NEW SANTRO 1.1 SPORTS AMT,Automatic,69952,1st,Petrol,DL,494399
2014,Maruti,Maruti Alto 800 VXI,Manual,71068,1st,Petrol,DL,267699
2017,Hyundai,Hyundai Grand i10 ASTA 1.2 (O) VTVT,Manual,49463,3rd,Petrol,UP,424099
2016,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),Manual,37239,1st,Petrol,DL,603899
2017,Volkswagen,Volkswagen Polo GT TSI 1.2 PETROL AT,Automatic,46133,1st,Petrol,UP,688399
2015,Audi,Audi A6 35 TDI S LINE,Automatic,39079,2nd,Diesel,HR,1615999
2014,Hyundai,Hyundai Verna FLUIDIC 1.4 VTVT,Manual,70528,2nd,Petrol,DL,463199
2015,Maruti,Maruti Wagon R 1.0 LXI,Manual,70248,2nd,Petrol,DL,301499
2017,Maruti,Maruti Wagon R 1.0 LXI,Manual,26271,1st,Petrol,HR,400599
2020,Hyundai,Hyundai Creta 1.6 VTVT SX AUTO,Automatic,28883,1st,Petrol,DL,1430899
2014,Maruti,Maruti Alto K10 LXI,Manual,57971,1st,Petrol,UP,265199
2020,Honda,Honda City VX MT PETROL,Manual,6924,1st,Petrol,UP,1200799
2021,Tata,Tata Harrier XZA  DUAL TONE,Automatic,17524,1st,Diesel,UP,1832299
2014,Honda,Honda City SV MT PETROL,Manual,20770,2nd,Petrol,DL,566599
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,59461,1st,Petrol,DL,432199
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,35016,1st,Petrol,DL,545099
2018,Maruti,Maruti S Cross SIGMA SHVS,Manual,67477,1st,Diesel,DL,683599
2020,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,38037,1st,Petrol,UP,682019
2019,Maruti,Maruti IGNIS ZETA 1.2 K12 AMT,Automatic,14633,2nd,Petrol,HR,617999
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,31936,2nd,Petrol,HR,563199
2014,Maruti,Maruti Ritz ZXI,Manual,63460,2nd,Petrol,HR,391399
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,23667,1st,Petrol,DL,604699
2019,Honda,Honda Amaze 1.2 V CVT I VTEC,Automatic,19470,1st,Petrol,DL,858499
2011,Maruti,Maruti Wagon R 1.0 VXI,Manual,47706,2nd,Petrol,HR,271099
2020,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,30874,1st,Petrol,DL,683499
2017,Honda,Honda Jazz 1.2 V AT,Automatic,73525,2nd,Petrol,DL,643399
2017,Maruti,Maruti Alto 800 LXI,Manual,20364,1st,Petrol,DL,308299
2020,KIA,KIA SELTOS GTX + AT PETROL,Automatic,8241,1st,Petrol,DL,1680599
2020,MG,MG HECTOR SHARP DCT PETROL,Automatic,26950,2nd,Petrol,UP,1603399
2017,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),Manual,89784,1st,Petrol + CNG,HR,647299
2020,Maruti,Maruti S PRESSO VXI PLUS,Manual,8416,1st,Petrol,DL,452899
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,56564,2nd,Petrol,DL,550799
2015,Honda,Honda City V MT PETROL,Manual,59024,2nd,Petrol,DL,594699
2019,Hyundai,Hyundai NEW SANTRO 1.1 MAGNA CNG MT,Manual,39950,1st,Petrol + CNG,DL,547599
2020,Renault,Renault Kwid RXT,Manual,13004,1st,Petrol,UP,479999
2016,Maruti,Maruti Swift LXI OPT,Manual,52261,2nd,Petrol,DL,402999
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,16261,1st,Petrol,DL,636199
2018,Jeep,Jeep Compass 2.0 LONGITUDE (O),Manual,79397,1st,Diesel,UP,1091199
2015,Maruti,Maruti Ciaz ZXI,Manual,70882,1st,Petrol,HR,572999
2017,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,26920,1st,Petrol,UP,575999
2017,Honda,Honda City V MT PETROL,Manual,70136,1st,Petrol,DL,827849
2014,Maruti,Maruti Alto K10 LXI,Manual,50064,1st,Petrol,UP,265399
2019,Honda,Honda City ZX CVT,Automatic,11647,1st,Petrol,DL,1228399
2016,Maruti,Maruti Alto 800 LXI,Manual,61377,1st,Petrol,DL,295699
2014,Toyota,Toyota Etios G,Manual,38255,1st,Petrol,DL,419999
2016,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,49602,1st,Petrol,DL,497199
2012,Maruti,Maruti Swift Dzire VXI,Manual,61580,1st,Petrol,UP,366649
2021,Hyundai,Hyundai VENUE S MT 1.2 KAPPA,Manual,6005,1st,Petrol,UP,934399
2021,Maruti,Maruti Alto VXI,Manual,1791,1st,Petrol,UP,412499
2018,Maruti,Maruti Alto 800 LXI,Manual,18657,1st,Petrol,DL,340699
2010,Maruti,Maruti Alto LXI,Manual,48178,2nd,Petrol,HR,167499
2016,Hyundai,Hyundai Grand i10 Magna 1.2 AT  VTVT,Automatic,93624,1st,Petrol,DL,417899
2020,MG,MG HECTOR SHARP DCT PETROL,Automatic,32463,2nd,Petrol,HR,1647099
2018,Hyundai,Hyundai Creta 1.6 E + VTVT,Manual,64753,1st,Petrol,DL,886099
2018,Honda,Honda Jazz 1.2 S MT,Manual,50512,2nd,Petrol,DL,509999
2018,Renault,Renault Duster RXS CVT 106 PS,Automatic,94148,1st,Petrol + CNG,UP,638399
2014,Hyundai,Hyundai Eon ERA PLUS,Manual,28658,1st,Petrol,DL,274499
2020,Maruti,Maruti S PRESSO VXI PLUS,Manual,13523,2nd,Petrol,DL,437699
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,20177,1st,Petrol,HR,611099
2022,Maruti,Maruti S Cross SIGMA 1.5 SHVS,Manual,1650,1st,Petrol,DL,937099
2014,Maruti,Maruti Wagon R 1.0 VXI,Manual,25601,1st,Petrol,DL,340399
2015,Maruti,Maruti Swift LXI,Manual,41311,2nd,Petrol,HR,448699
2021,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,4395,1st,Petrol,UP,654899
2016,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,52723,1st,Petrol,DL,513799
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,32283,1st,Petrol,UP,475399
2017,Maruti,Maruti Dzire VXI,Manual,21503,1st,Petrol,HR,616899
2020,Renault,Renault Kwid 1.0 RXT Opt,Manual,25880,1st,Petrol,HR,462599
2018,Hyundai,Hyundai NEW SANTRO SPORTZ 1.1,Manual,27933,1st,Petrol,DL,509899
2017,Maruti,Maruti Ciaz ALPHA 1.3 DDIS SHVS,Manual,59898,2nd,Diesel,HR,686299
2020,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,50112,1st,Petrol,DL,652499
2015,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,46613,1st,Petrol,DL,389499
2019,Ford,Ford Ecosport 1.5 TREND TI VCT,Manual,29106,1st,Petrol,DL,737299
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,43915,2nd,Petrol,DL,599499
2017,Maruti,Maruti Swift LXI OPT,Manual,47518,1st,Petrol,DL,448699
2016,Hyundai,Hyundai Elite i20 SPORTZ 1.2,Manual,41469,2nd,Petrol,DL,546899
2020,Skoda,Skoda Rapid ACTIVE 1.0 TSI,Manual,18906,1st,Petrol,DL,946699
2021,MG,MG HECTOR SHARP CVT,Automatic,8282,1st,Petrol,DL,1840699
2016,Honda,Honda Amaze 1.2 SX MT I VTEC,Manual,92254,1st,Petrol,UP,486999
2014,Honda,Honda City VX MT PETROL,Manual,83242,1st,Petrol,UP,634699
2012,Honda,Honda Brio 1.2 S (O) MT IVTEC,Manual,63063,1st,Petrol,UP,283799
2013,Honda,Honda Brio 1.2 S MT I VTEC,Manual,52280,1st,Petrol,DL,316099
2020,Maruti,Maruti Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,18634,1st,Petrol,HR,1032499
2015,Hyundai,Hyundai Elite i20 MAGNA 1.2,Manual,43969,1st,Petrol,DL,510699
2013,Maruti,Maruti Swift Dzire LXI 1.2 BS IV,Manual,71384,1st,Petrol,DL,349699
2018,Maruti,Maruti Wagon R 1.0 LXI,Manual,20567,1st,Petrol,DL,444999
2016,Hyundai,Hyundai Creta 1.6 S,Manual,19702,2nd,Petrol,DL,875699
2017,Hyundai,Hyundai Grand i10 SPORTZ O 1.2,Manual,43049,2nd,Petrol,DL,443699
2017,Maruti,Maruti Wagon R 1.0 VXI,Manual,52936,1st,Petrol,HR,388349
2017,Ford,Ford Ecosport 1.5 TITANIUM TI VCT AT,Automatic,39340,2nd,Petrol,HR,697599
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,68436,1st,Petrol,HR,428299
2016,Hyundai,Hyundai Creta 1.6 S,Manual,76840,3rd,Petrol,UP,770999
2019,Tata,Tata NEXON XZ+ 1.2,Manual,30534,1st,Petrol,DL,806599
2016,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,47947,1st,Petrol,DL,432799
2019,Mahindra,Mahindra XUV500 W9,Manual,91773,1st,Diesel,HR,1253249
2020,Honda,Honda City VX MT PETROL,Manual,16253,1st,Petrol,DL,1251299
2014,Hyundai,Hyundai i10 MAGNA 1.1 IRDE2,Manual,41439,2nd,Petrol,UP,314999
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,53512,1st,Petrol,UP,407849
2015,Hyundai,Hyundai i10 SPORTZ 1.1 IRDE2,Manual,42141,2nd,Petrol,HR,360899
2021,Hyundai,Hyundai NEW SANTRO SPORTZ EXECUTIVE CNG,Manual,78034,1st,Petrol + CNG,HR,615599
2018,Maruti,Maruti Wagon R 1.0 VXI AMT,Automatic,15854,1st,Petrol,HR,487499
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,28270,1st,Petrol,DL,471199
2017,Honda,Honda City ZX CVT,Automatic,27652,2nd,Petrol,UP,972399
2019,Maruti,Maruti Dzire ZXI AMT,Automatic,31076,1st,Petrol,UP,730749
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,28702,1st,Petrol,UP,629299
2016,Ford,Ford Ecosport 1.0 TREND+ (ECOBOOST),Manual,58070,2nd,Petrol,DL,615499
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,16489,1st,Petrol,UP,650899
2015,Honda,Honda Jazz 1.2 SV MT,Manual,66871,2nd,Petrol,HR,469599
2018,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),Manual,88155,1st,Petrol,DL,631999
2015,Hyundai,Hyundai Creta 1.6 S,Manual,27829,1st,Petrol,UP,870999
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,51393,2nd,Petrol,DL,581699
2019,Maruti,Maruti New  Wagon-R LXI 1.0 L,Manual,13184,1st,Petrol,UP,520899
2013,Maruti,Maruti Wagon R 1.0 LXI CNG,Manual,29890,1st,Petrol + CNG,DL,327399
2017,Maruti,Maruti Dzire ZDI Plus AMT,Automatic,24577,1st,Diesel,DL,689599
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,46520,1st,Petrol,DL,606199
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,40969,1st,Petrol,DL,571599
2020,Hyundai,Hyundai VENUE 1.0 turbo GDI IMT SX O,Manual,15028,1st,Petrol,DL,1036399
2016,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,51070,1st,Petrol,DL,516499
2021,Ford,Ford Ecosport 1.5TITANIUM TDCI,Manual,23007,1st,Diesel,UP,1067999
2017,Hyundai,Hyundai Elite i20 SPORTZ 1.2,Manual,47168,1st,Petrol,UP,587899
2022,Renault,Renault Duster RXZ 1.3 TURBO MT,Manual,7069,1st,Petrol,HR,1311999
2019,Renault,Renault Kwid 1.0 RXT Opt,Manual,31621,1st,Petrol,HR,391399
2019,Datsun,Datsun Redi Go A,Manual,17555,1st,Petrol,UP,325899
2021,Honda,Honda Amaze 1.2 V CVT I VTEC,Automatic,21765,1st,Petrol,DL,951599
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,43970,1st,Petrol,DL,616499
2016,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,50160,1st,Petrol,DL,511599
2015,Hyundai,Hyundai Elite i20 SPORTZ 1.2,Manual,85812,1st,Petrol,DL,493599
2017,Maruti,Maruti Alto K10 VXI,Manual,41368,2nd,Petrol,DL,308249
2016,Hyundai,Hyundai Elite i20 ERA 1.2,Manual,59143,2nd,Petrol,DL,473999
2018,Maruti,Maruti Alto 800 LXI,Manual,19169,2nd,Petrol,DL,328699
2021,Tata,Tata Harrier XT+ 2.0 KRYOTEC,Manual,21245,1st,Diesel,DL,1736699
2020,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,12502,1st,Petrol,HR,720799
2020,Maruti,Maruti Alto VXI,Manual,19039,2nd,Petrol,DL,383999
2018,Hyundai,Hyundai Creta 1.6 E + VTVT,Manual,51678,1st,Petrol,HR,897799
2016,Skoda,Skoda Rapid ELEGANCE 1.6 MPFI AT,Automatic,29967,2nd,Petrol,HR,506599
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,39423,1st,Petrol,DL,550549
2019,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,43686,1st,Petrol + CNG,HR,520599
2018,Maruti,Maruti Alto K10 LXI CNG (O),Manual,83128,1st,Petrol + CNG,DL,361699
2017,Maruti,Maruti Dzire VXI,Manual,26426,1st,Petrol,DL,629899
2016,Maruti,Maruti Alto 800 LXI,Manual,25105,1st,Petrol,HR,303099
2017,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),Manual,15902,2nd,Petrol,HR,708699
2016,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,48599,1st,Petrol,DL,522119
2020,Maruti,Maruti S PRESSO VXI,Manual,57636,1st,Petrol,HR,411499
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 SX VTVT OPT,Manual,48976,1st,Petrol,DL,518899
2010,Honda,Honda City S MT PETROL,Manual,47404,2nd,Petrol,UP,315499
2020,Mahindra,Mahindra Scorpio S9,Manual,26932,1st,Diesel,UP,1408099
2019,Ford,Ford Ecosport 1.5 TITANIUM TI VCT,Manual,14294,1st,Petrol,DL,846299
2017,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,41029,1st,Petrol,HR,530099
2020,Renault,Renault Kwid 1.0 RXT Opt,Manual,24120,1st,Petrol,DL,450699
2021,Maruti,Maruti Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,10032,1st,Petrol,UP,1034699
2016,Maruti,Maruti Alto K10 VXI,Manual,28442,1st,Petrol,DL,306599
2017,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,33015,1st,Petrol,UP,602099
2020,Hyundai,Hyundai VENUE 1.0L Turbo GDI SX(O) MT,Manual,25071,2nd,Petrol,HR,1006699
2015,Hyundai,Hyundai Eon MAGNA PLUS,Manual,46402,1st,Petrol,DL,281399
2019,Maruti,Maruti Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,67354,2nd,Petrol,HR,757999
2017,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),Manual,50347,2nd,Petrol,DL,615629
2014,Maruti,Maruti Swift VXI,Manual,35128,1st,Petrol,DL,452399
2018,Datsun,Datsun Redi Go 1.0 S AT,Automatic,72010,2nd,Petrol,HR,364399
2020,KIA,KIA SELTOS GTX + AT PETROL,Automatic,18027,1st,Petrol,DL,1838999
2019,Maruti,Maruti Alto 800 VXI,Manual,13749,1st,Petrol,DL,366599
2014,Honda,Honda City SV MT PETROL,Manual,60164,1st,Petrol,UP,568099
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,39903,2nd,Petrol,DL,541699
2018,Hyundai,Hyundai Eon MAGNA PLUS OPTIONAL,Manual,33174,1st,Petrol,UP,419499
2016,Honda,Honda Amaze 1.2 SAT I VTEC,Automatic,48927,2nd,Petrol,HR,509299
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,84581,1st,Petrol,DL,570699
2017,Maruti,Maruti Alto 800 VXI,Manual,18229,1st,Petrol,HR,325499
2016,Hyundai,Hyundai Elite i20 MAGNA 1.2,Manual,52830,1st,Petrol,UP,511849
2019,Tata,Tata Harrier XZ 2.0L Kryotec,Manual,31328,2nd,Diesel,DL,1265399
2019,MG,MG HECTOR SHARP DCT PETROL,Automatic,11988,1st,Petrol,UP,1580399
2019,Maruti,Maruti Alto 800 LXI,Manual,17149,1st,Petrol,DL,339499
2022,Maruti,Maruti Alto LXI OPT,Manual,9585,1st,Petrol,DL,418399
2020,Mahindra,Mahindra KUV 100 NXT K8 6 STR,Manual,26674,1st,Petrol,DL,694399
2022,Renault,Renault Kwid RXT,Manual,12478,1st,Petrol,HR,464299
2014,Honda,Honda City VX CVT PETROL,Automatic,82539,1st,Petrol,HR,675919
2017,Maruti,Maruti Dzire VXI,Manual,31712,1st,Petrol,DL,654399
2021,Skoda,Skoda Rapid 1.0 AMBITION TSI AT,Automatic,10439,1st,Petrol,DL,1185549
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,26392,1st,Petrol,DL,651799
2021,Maruti,Maruti S PRESSO VXI PLUS,Manual,9486,1st,Petrol,HR,458399
2020,Tata,Tata Harrier XZ DARK EDITION,Manual,28625,2nd,Diesel,HR,1483799
2017,Honda,Honda Amaze 1.2 SX MT I VTEC,Manual,64512,2nd,Petrol,DL,510199
2021,Maruti,Maruti Baleno ZETA 1.2 K12 CVT,Automatic,14602,1st,Petrol,HR,917399
2021,Skoda,Skoda Rapid STYLE 1.0TSI MT,Manual,9999,1st,Petrol,DL,1120399
2015,Renault,Renault Kwid RXT,Manual,33490,3rd,Petrol,DL,215499
2018,Hyundai,Hyundai Verna 1.6 SX VTVT,Manual,23550,1st,Petrol,HR,901499
2019,Maruti,Maruti Vitara Brezza ZDI,Manual,22050,1st,Diesel,UP,882899
2010,Maruti,Maruti Alto K10 LXI,Manual,52037,1st,Petrol,DL,205699
2021,Tata,Tata ALTROZ XZ 1.2,Manual,22168,1st,Petrol,HR,732699
2018,Tata,Tata NEXON XZA+ 1.5,Automatic,70104,1st,Diesel,HR,737899
2021,Volkswagen,Volkswagen Vento COMFORTLINE 1.0 TSI MT,Manual,16336,1st,Petrol,HR,987299
2021,Maruti,Maruti Alto LXI CNG,Manual,17920,1st,Petrol + CNG,DL,469999
2018,Toyota,Toyota Corolla Altis VL AT,Automatic,65783,1st,Petrol,DL,1489299
2014,Ford,Ford Ecosport 1.5AMBIENTE TI VCT,Manual,98676,1st,Petrol,UP,481599
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,14072,1st,Petrol,HR,483399
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,30626,1st,Petrol,HR,669299
2020,Honda,Honda Jazz 1.2 ZX MT,Manual,10537,1st,Petrol,UP,825299
2018,Maruti,Maruti IGNIS DELTA 1.2 K12,Manual,34337,1st,Petrol,UP,458199
2016,Honda,Honda Jazz 1.2 V AT,Automatic,62041,1st,Petrol,DL,543099
2017,Honda,Honda City ZX CVT,Automatic,27601,1st,Petrol,DL,1034199
2018,Honda,Honda WR-V 1.5 i-DTEC VX MT,Manual,64774,1st,Diesel,UP,721099
2014,Honda,Honda Amaze 1.2 EMT I VTEC,Manual,49554,1st,Petrol,DL,398299
2017,Hyundai,Hyundai Elite i20 SPORTZ 1.2,Manual,41544,1st,Petrol,HR,602499
2017,Hyundai,Hyundai Creta 1.6 SX PLUS AUTO PETROL,Automatic,49469,2nd,Petrol,DL,1048299
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,25853,1st,Petrol,HR,633899
2014,Hyundai,Hyundai Xcent S 1.2 OPT,Manual,90060,1st,Petrol,DL,404899
2018,Tata,Tata NEXON XMA 1.5,Manual,78374,1st,Diesel,UP,743949
2018,Maruti,Maruti Vitara Brezza ZDI + AMT,Automatic,16165,2nd,Diesel,HR,922299
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,52391,1st,Petrol,DL,561399
2019,Tata,Tata Harrier XM 2.0L Kryotec,Manual,49212,1st,Diesel,HR,1217599
2016,Maruti,Maruti Swift LXI OPT,Manual,57873,2nd,Petrol,DL,413199
2017,Maruti,Maruti Alto K10 VXI,Manual,66997,1st,Petrol,HR,337799
2018,Maruti,Maruti Alto K10 VXI,Manual,37134,1st,Petrol,HR,349799
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,25639,1st,Petrol,HR,633799
2015,Maruti,Maruti Swift VXI,Manual,62969,1st,Petrol,UP,393299
2018,Maruti,Maruti Wagon R 1.0 LXI CNG,Manual,82470,1st,Petrol + CNG,DL,439699
2017,Toyota,Toyota Innova Crysta 2.8 ZX AT 7 STR,Automatic,85182,1st,Diesel,HR,1720699
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,34913,1st,Petrol,DL,489899
