year,name,model,transmission,km,ownership,fuel,registeration,price
2019,Tata,Tata Harrier XM 2.0L Kryotec,Manual,56931,1st,Diesel,GJ,1231499
2019,Hyundai,Hyundai Elite i20 1.2 SPORTS PLUS VTVT CVT,Automatic,43931,1st,Petrol,GJ,715899
2018,Honda,Honda City ZX CVT,Automatic,11532,1st,Petrol,GJ,1130699
2017,Hyundai,Hyundai Verna 1.6 SX VTVT,Manual,88909,2nd,Petrol,GJ,712499
2013,Hyundai,Hyundai i20 SPORTZ 1.2 VTVT,Manual,54899,2nd,Petrol,GJ,427999
2016,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),Manual,17399,1st,Petrol,GJ,668399
2019,Honda,Honda Amaze 1.2 SMT I VTEC,Manual,24370,1st,Petrol,GJ,665699
2020,Datsun,Datsun Redi Go 1.0 T(O) AT,Automatic,10197,1st,Petrol,GJ,449399
2015,Hyundai,Hyundai Xcent BASE 1.2,Manual,64000,3rd,Petrol + CNG,GJ,439099
2021,Honda,Honda Jazz VX 1.2 CVT,Automatic,8741,1st,Petrol,GJ,944699
2021,Maruti,Maruti Dzire VXI,Manual,12426,1st,Petrol,GJ,732799
2017,Maruti,Maruti Dzire VXI,Manual,32997,1st,Petrol,GJ,636299
2016,Hyundai,Hyundai Elite i20 SPORTZ 1.2,Manual,83185,2nd,Petrol + CNG,GJ,556599
2019,Tata,Tata Harrier XZ 2.0L Kryotec,Manual,71915,2nd,Diesel,GJ,1303199
2017,Jeep,Jeep Compass 2.0 SPORT,Manual,44975,2nd,Diesel,GJ,1136499
2019,Hyundai,Hyundai NEW SANTRO 1.1 SPORTS AMT,Automatic,7090,1st,Petrol,GJ,590999
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,41578,1st,Petrol,GJ,423699
2021,Volkswagen,Volkswagen Vento COMFORTLINE 1.0 TSI MT,Manual,23049,1st,Petrol,GJ,863599
2018,Jeep,Jeep Compass 2.0 LONGITUDE (O),Manual,50913,1st,Diesel,GJ,1157199
2020,Honda,Honda City V CVT,Automatic,62834,1st,Petrol,GJ,1025199
2019,KIA,KIA SELTOS GTX 1.4 GDI AT PETROL,Automatic,61151,1st,Petrol,GJ,1288899
2020,Volkswagen,Volkswagen Vento COMFORTLINE 1.0 TSI MT,Manual,69511,2nd,Petrol,GJ,957399
2017,Maruti,Maruti Dzire VXI,Manual,77998,1st,Petrol,MH,608499
2017,Hyundai,Hyundai New Elantra 2.0 SX AT,Automatic,42545,1st,Petrol,GJ,1095599
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,74108,1st,Petrol + CNG,GJ,473999
2019,Hyundai,Hyundai Verna 1.6 SX VTVT,Manual,6093,2nd,Petrol,GJ,889699
2016,Hyundai,Hyundai Elite i20 SPORTZ 1.2,Manual,61979,2nd,Petrol,GJ,556699
2022,Tata,Tata NEXON XZ+ SUNROOF 1.2 RTN,Manual,4871,1st,Petrol,GJ,1114899
2017,Honda,Honda Brio 1.2 VX AT I VTEC,Automatic,53636,2nd,Petrol,GJ,567099
2020,Hyundai,Hyundai Elite i20 1.2 SPORTS PLUS VTVT,Manual,14474,1st,Petrol,GJ,792199
2014,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,71932,1st,Petrol,GJ,550499
2018,Hyundai,Hyundai Grand i10 SPORTZ O 1.2,Manual,46406,2nd,Petrol,GJ,550099
2022,Maruti,Maruti Baleno ZETA 1.2 K12 CVT,Automatic,37100,1st,Petrol,GJ,855399
2019,Maruti,Maruti S PRESSO VXI PLUS,Manual,16553,1st,Petrol,GJ,464299
2021,Maruti,Maruti Alto LXI CNG,Manual,40046,1st,Petrol + CNG,GJ,481599
2017,Maruti,Maruti Alto 800 VXI,Manual,32531,1st,Petrol,GJ,303399
2019,KIA,KIA SELTOS GTX+ 1.4 MT,Manual,71886,1st,Petrol,GJ,1269899
2017,Maruti,Maruti Ciaz ZETA 1.4 VVT,Manual,24085,1st,Petrol,GJ,717499
2018,Honda,Honda City V CVT,Automatic,30304,1st,Petrol,GJ,915499
2021,Toyota,Toyota Glanza G MT PETROL,Manual,13479,1st,Petrol,GJ,790199
2020,Hyundai,Hyundai Creta 1.5 SX (O) AT,Automatic,44943,1st,Petrol,GJ,1581749
2020,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,47489,1st,Petrol,GJ,813399
2019,Honda,Honda City V CVT,Automatic,90113,1st,Petrol + CNG,GJ,887099
2019,Ford,Ford Endeavour 2.2l 4X2 MT Titanium,Manual,94312,1st,Diesel,GJ,2483799
2019,MG,MG HECTOR SHARP 2.0 DIESEL,Manual,40962,1st,Diesel,GJ,1491499
2018,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,17943,1st,Petrol,GJ,663299
2017,Maruti,Maruti IGNIS DELTA 1.2 K12,Manual,11699,1st,Petrol,GJ,504299
2019,Ford,Ford Figo Aspire 1.2 TITANIUM PETROL,Manual,26834,3rd,Petrol,GJ,536099
