year,name,model,transmission,km,ownership,fuel,registeration,emi,payment,price
2011,Hyundai i10,ERA 1.1 IRDE,Manual,"73,166",3rd ,Petrol + CNG,GJ,"5,736",Zero Down Payment,"2,93,399"
2018,Maruti Baleno,DELTA 1.2 K12,Manual,"21,734",1st ,Petrol,UP,"11,048",Zero Down Payment,"5,65,099"
2021,Maruti New  Wagon-R,VXI 1.0,Manual,"3,720",1st ,Petrol,GJ,"11,091",Zero Down Payment,"5,67,299"
2020,KIA SELTOS,HTK PLUS 1.5 DIESEL,Manual,"21,842",1st ,Diesel,GJ,"25,192",Zero Down Payment,"13,41,499"
2012,Hyundai i20,SPORTZ 1.2 VTVT,Manual,"72,011",1st ,Petrol,GJ,"8,242",Zero Down Payment,"4,21,599"
2020,KIA SELTOS,HTK PLUS 1.5 DIESEL,Manual,"53,390",1st ,Diesel,GJ,"24,307",Zero Down Payment,"12,94,399"
2016,Renault Duster,RXL PETROL 104,Manual,"55,728",1st ,Petrol,GJ,"10,164",Zero Down Payment,"5,19,899"
2013,Volkswagen Vento,HIGHLINE PETROL,Manual,"97,393",1st ,Petrol,GJ,"8,506",Zero Down Payment,"4,35,099"
2018,Renault Kwid,1.0 RXT Opt,Manual,"19,165",1st ,Petrol,GJ,"7,464",Zero Down Payment,"3,81,799"
2021,Datsun Redi Go,T (O),Manual,"2,631",1st ,Petrol,GJ,"8,328",Zero Down Payment,"4,25,999"
2021,Hyundai AURA,SX+ AT 1.2CRDI,Automatic,"30,436",1st ,Diesel,GJ,"16,482",Zero Down Payment,"8,77,699"
2021,Maruti Celerio,ZXI,Manual,"6,323",1st ,Petrol,GJ,"11,375",Zero Down Payment,"5,81,849"
2020,Hyundai AURA,SX+ AT 1.2CRDI,Automatic,"32,917",1st ,Diesel,GJ,"18,287",Zero Down Payment,"9,73,799"
2021,Mahindra XUV500,W11 AT,Automatic,"13,545",1st ,Diesel,GJ,"37,182",Zero Down Payment,"19,79,999"
2013,Hyundai i10,MAGNA 1.2 KAPPA2,Manual,"64,508",1st ,Petrol,GJ,"5,417",Zero Down Payment,"2,77,099"
2019,Renault Kwid,RXL,Manual,"12,345",1st ,Petrol,GJ,"7,844",Zero Down Payment,"4,01,199"
2021,Mahindra Thar,LX PETROL AT 4WD,Automatic,"3,919",1st ,Petrol,GJ,"29,051",Zero Down Payment,"15,46,999"
2022,Hyundai VENUE,S MT 1.2 KAPPA,Manual,"3,456",1st ,Petrol,GJ,"17,639",Zero Down Payment,"9,39,299"
2017,Maruti Alto 800,VXI,Manual,"15,751",2nd ,Petrol,GJ,"5,932",Zero Down Payment,"3,03,399"
2018,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"20,760",1st ,Petrol,GJ,"10,035",Zero Down Payment,"5,13,299"
2014,Maruti Swift,VXI,Manual,"57,155",1st ,Petrol,GJ,"8,733",Zero Down Payment,"4,46,699"
2020,Ford Ecosport,1.5TITANIUM TDCI,Manual,"19,669",2nd ,Diesel,GJ,"17,613",Zero Down Payment,"9,37,899"
2018,Maruti Celerio,ZXI,Manual,"17,099",1st ,Petrol,GJ,"9,781",Zero Down Payment,"5,00,299"
2021,Maruti Baleno,DELTA 1.2 K12,Manual,"2,579",1st ,Petrol,GJ,"13,793",Zero Down Payment,"7,05,499"
2016,Hyundai Elite i20,MAGNA 1.2,Manual,"51,323",1st ,Petrol,MH,"10,364",Zero Down Payment,"5,30,099"
2017,Maruti Dzire,VXI,Manual,"8,673",2nd ,Petrol,GJ,"12,588",Zero Down Payment,"6,43,899"
2015,Ford Ecosport,1.0 ECOBOOST TITANIUM,Manual,"23,014",1st ,Petrol,GJ,"10,600",Zero Down Payment,"5,42,199"
2022,Maruti S PRESSO,VXI PLUS,Manual,"1,345",1st ,Petrol,GJ,"11,705",Zero Down Payment,"5,98,699"
2021,MG HECTOR,SHARP 2.0 DIESEL,Manual,"8,358",1st ,Diesel,GJ,"34,756",Zero Down Payment,"18,50,799"
2018,Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"41,807",1st ,Petrol,PB,"9,638",Zero Down Payment,"4,92,999"
2019,Jeep Compass,SPORT PLUS PETROL,Manual,"10,639",1st ,Petrol,GJ,"24,086",Zero Down Payment,"12,82,599"
2013,Maruti Swift,VXI,Manual,"57,228",1st ,Petrol,GJ,"8,235",Zero Down Payment,"4,21,199"
2019,Hyundai NEW SANTRO,1.1 SPORTS AMT,Automatic,"17,094",1st ,Petrol,GJ,"10,819",Zero Down Payment,"5,53,399"
2015,Honda Brio,1.2 S MT I VTEC,Manual,"44,135",1st ,Petrol,GJ,"7,370",Zero Down Payment,"3,76,999"
2015,Maruti Swift,VXI,Manual,"71,268",1st ,Petrol,GJ,"8,743",Zero Down Payment,"4,47,199"
2021,Hyundai VENUE,S Plus MT 1.2 Kappa,Manual,"9,844",1st ,Petrol,GJ,"17,079",Zero Down Payment,"9,09,499"
2016,Ford Ecosport,1.0 TREND+ (ECOBOOST),Manual,"45,478",2nd ,Petrol,GJ,"11,417",Zero Down Payment,"5,83,999"
2021,Honda City,ZX MT PETROL,Manual,"20,518",1st ,Petrol,GJ,"24,152",Zero Down Payment,"12,86,099"
2021,Hyundai VENUE,S MT 1.2 KAPPA,Manual,"9,299",1st ,Petrol,GJ,"15,994",Zero Down Payment,"8,51,699"
2019,Renault Duster,RXZ 85 PS DIESEL,Manual,"63,090",1st ,Diesel,GJ,"15,425",Zero Down Payment,"7,88,999"
2018,Tata TIGOR,XZ 1.2 REVOTRON,Manual,"36,989",2nd ,Petrol,GJ,"10,356",Zero Down Payment,"5,29,699"
2021,KIA SELTOS,HTX 1.5 PETROL MT,Manual,"19,533",1st ,Petrol,GJ,"25,337",Zero Down Payment,"13,49,199"
2021,Mahindra XUV 3OO,W8(O),Manual,"68,053",1st ,Diesel,GJ,"20,631",Zero Down Payment,"10,98,599"
2020,Hyundai Creta,1.5 SX (O),Manual,"20,912",1st ,Diesel,GJ,"32,546",Zero Down Payment,"17,33,099"
2021,Tata Harrier,XM 2.0L Kryotec,Manual,"31,418",1st ,Diesel,GJ,"29,442",Zero Down Payment,"15,67,799"
2021,Hyundai NEW SANTRO,SPORTZ 1.1,Manual,"8,413",1st ,Petrol,GJ,"10,766",Zero Down Payment,"5,50,699"
2016,Hyundai Xcent,S 1.2,Manual,"24,650",2nd ,Petrol,GJ,"10,274",Zero Down Payment,"5,25,499"
2019,Maruti Dzire,VXI,Manual,"21,048",1st ,Petrol,GJ,"12,629",Zero Down Payment,"6,45,999"
2015,Hyundai Elite i20,SPORTZ 1.2,Manual,"33,064",1st ,Petrol,GJ,"10,236",Zero Down Payment,"5,23,599"
2019,KIA SELTOS,1.4 GTX+ TURBO GDI PETROL AT,Automatic,"13,445",1st ,Petrol,GJ,"30,608",Zero Down Payment,"16,29,899"
2017,Maruti Swift,VXI,Manual,"55,329",1st ,Petrol,GJ,"10,365",Zero Down Payment,"5,30,199"
2012,Hyundai i20,MAGNA O 1.2,Manual,"78,436",2nd ,Petrol,GJ,"7,425",Zero Down Payment,"3,79,799"
2018,Honda Jazz,1.2 V MT,Manual,"24,569",1st ,Petrol,GJ,"11,800",Zero Down Payment,"6,03,599"
2020,Maruti New  Wagon-R,VXI 1.2L,Manual,"19,813",1st ,Petrol,GJ,"10,827",Zero Down Payment,"5,53,799"
2018,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"23,830",1st ,Petrol,GJ,"11,419",Zero Down Payment,"5,84,099"
2020,MG HECTOR,SHARP DCT PETROL,Automatic,"23,249",1st ,Petrol,GJ,"29,199",Zero Down Payment,"15,54,899"
2018,Honda City,SV MT EDGE EDITION PETROL,Manual,"76,317",2nd ,Petrol,GJ,"14,185",Zero Down Payment,"7,25,549"
