year,name,model,transmission,km,ownership,fuel,registeration,emi,payment,price
2017,Honda City,V MT DIESEL,Manual,"73,052",1st ,Diesel,KA,"16,967",Zero Down Payment,"9,03,499"
2017,Honda Jazz,1.2 V AT,Automatic,"28,338",2nd ,Petrol,KA,"13,906",Zero Down Payment,"7,11,299"
2018,Hyundai Elite i20,ASTA 1.2,Manual,"32,322",1st ,Petrol,KA,"15,128",Zero Down Payment,"7,73,799"
2020,MG HECTOR,SHARP HYBIRD PETROL MT,Manual,"39,154",1st ,Petrol,KA,"31,250",Zero Down Payment,"16,64,099"
2016,Renault Duster,RXL AMT 110 PS,Automatic,"85,066",2nd ,Diesel,KA,"15,397",Zero Down Payment,"8,19,899"
2015,Maruti S Cross,ZETA 1.3,Manual,"70,712",1st ,Diesel,KA,"14,745",Zero Down Payment,"7,54,199"
2017,Maruti Ciaz,ALPHA 1.4 VVT,Manual,"52,802",2nd ,Petrol,KA,"13,497",Zero Down Payment,"6,90,399"
2017,Datsun Redi Go,T (O),Manual,"17,582",1st ,Petrol,KA,"6,245",Zero Down Payment,"3,19,449"
2016,Maruti Wagon R 1.0,VXI AMT,Automatic,"79,240",1st ,Petrol,KA,"8,082",Zero Down Payment,"4,13,399"
2018,Maruti Baleno,ZETA 1.2 K12,Manual,"34,478",2nd ,Petrol,KA,"13,560",Zero Down Payment,"6,93,599"
2018,Maruti Alto 800,VXI (O),Manual,"43,511",2nd ,Petrol,KA,"6,907",Zero Down Payment,"3,53,299"
2015,Honda City,V MT PETROL,Manual,"65,098",1st ,Petrol,KA,"14,133",Zero Down Payment,"7,22,899"
2015,Hyundai Elite i20,SPORTZ (O) 1.2,Manual,"61,900",2nd ,Petrol,KA,"12,147",Zero Down Payment,"6,21,299"
2017,Hyundai Xcent,SX 1.2,Manual,"14,566",1st ,Petrol,KA,"12,815",Zero Down Payment,"6,55,499"
2019,Hyundai Elite i20,Asta 1.2 CVT,Automatic,"48,224",1st ,Petrol,KA,"15,051",Zero Down Payment,"8,01,499"
2017,Maruti Dzire,VXI AMT,Automatic,"46,191",1st ,Petrol,KA,"12,084",Zero Down Payment,"6,18,099"
2019,Maruti S PRESSO,VXI PLUS,Manual,"21,755",1st ,Petrol,KA,"9,670",Zero Down Payment,"4,94,599"
2016,Honda Jazz,1.2 V MT,Manual,"62,458",1st ,Petrol,KA,"11,155",Zero Down Payment,"5,70,599"
2021,Maruti IGNIS,DELTA 1.2 K12,Manual,"27,804",1st ,Petrol,KA,"11,677",Zero Down Payment,"5,97,299"
2017,Tata TIGOR,XZ 1.2 REVOTRON OPT,Manual,"62,104",1st ,Petrol,KA,"10,708",Zero Down Payment,"5,47,699"
2016,Honda City,VX CVT PETROL,Automatic,"80,478",1st ,Petrol,KA,"15,872",Zero Down Payment,"8,45,199"
2017,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"50,430",1st ,Petrol,KA,"9,961",Zero Down Payment,"5,09,499"
2019,Hyundai NEW SANTRO,SPORTZ 1.1,Manual,"30,791",1st ,Petrol,KA,"9,947",Zero Down Payment,"5,08,799"
2018,Maruti Ciaz,ALPHA 1.3 DDIS SHVS,Manual,"53,644",2nd ,Diesel,KA,"16,482",Zero Down Payment,"8,77,699"
2021,Maruti IGNIS,ZETA 1.2 K12 AMT,Automatic,"10,067",2nd ,Petrol,KA,"14,749",Zero Down Payment,"7,54,399"
2016,Honda City,VX MT PETROL,Manual,"67,007",1st ,Petrol,KA,"15,307",Zero Down Payment,"8,15,099"
2017,Maruti Alto 800,LXI,Manual,"75,967",1st ,Petrol,KA,"6,090",Zero Down Payment,"3,11,499"
2018,Hyundai Creta,1.6 VTVT SX AUTO,Automatic,"45,430",1st ,Petrol,KA,"24,608",Zero Down Payment,"13,10,399"
2016,Volkswagen Vento,HIGHLINE 1.2 TSI AT,Automatic,"64,101",2nd ,Petrol,KA,"16,514",Zero Down Payment,"8,79,399"
2016,Volkswagen Ameo,COMFORTLINE 1.2,Manual,"67,184",2nd ,Petrol,KA,"10,596",Zero Down Payment,"5,41,999"
2017,Volkswagen Vento,1.2 TSI HIGHLINE PLUS AT,Automatic,"69,593",1st ,Petrol,KA,"16,101",Zero Down Payment,"8,57,399"
2015,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"63,999",1st ,Petrol,KA,"10,294",Zero Down Payment,"5,26,549"
2017,Tata TIGOR,XZ 1.2 REVOTRON OPT,Manual,"60,770",1st ,Petrol,KA,"10,897",Zero Down Payment,"5,57,399"
2020,KIA SELTOS,1.4 GTX+ TURBO GDI PETROL AT,Automatic,"36,541",1st ,Petrol,KA,"33,156",Zero Down Payment,"17,65,599"
2018,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"50,506",2nd ,Petrol,KA,"9,656",Zero Down Payment,"4,93,899"
2020,Maruti S PRESSO,VXI PLUS AGS,Automatic,"26,425",1st ,Petrol,KA,"10,334",Zero Down Payment,"5,28,599"
2017,Maruti Alto 800,VXI,Manual,"56,231",1st ,Petrol,KA,"6,647",Zero Down Payment,"3,39,999"
2020,Hyundai VENUE,SX 1.0 GDI IMT,Manual,"24,718",1st ,Petrol,KA,"21,038",Zero Down Payment,"11,20,299"
2019,Honda City,ZX CVT,Automatic,"42,538",1st ,Petrol,KA,"21,883",Zero Down Payment,"11,65,299"
2018,Hyundai Xcent,SX 1.2,Manual,"51,602",1st ,Petrol,KA,"12,072",Zero Down Payment,"6,17,499"
2015,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"77,947",1st ,Petrol,KA,"10,184",Zero Down Payment,"5,20,899"
2017,Honda Jazz,1.2 V MT,Manual,"54,761",2nd ,Petrol,KA,"13,009",Zero Down Payment,"6,65,399"
2018,Hyundai Verna,1.6 CRDI SX + AT,Automatic,"91,828",2nd ,Diesel,KA,"16,918",Zero Down Payment,"9,00,899"
2017,Hyundai i20 Active,1.2 SX,Manual,"22,258",1st ,Petrol,KA,"15,194",Zero Down Payment,"7,77,199"
2018,Maruti Alto K10,VXI OPT,Manual,"44,741",2nd ,Petrol,KA,"6,919",Zero Down Payment,"3,53,899"
2021,Maruti S PRESSO,VXI PLUS AGS,Automatic,"30,798",1st ,Petrol,KA,"10,223",Zero Down Payment,"5,22,899"
2017,Hyundai Elite i20,1.4 CRDI ASTA (O),Manual,"70,734",1st ,Diesel,KA,"14,434",Zero Down Payment,"7,38,299"
2017,Hyundai Grand i10,SPORTZ O 1.2,Manual,"23,298",2nd ,Petrol,KA,"10,676",Zero Down Payment,"5,46,099"
2016,Maruti Baleno,ZETA DDIS 190,Manual,"76,549",1st ,Diesel,KA,"13,562",Zero Down Payment,"6,93,699"
2014,Maruti Wagon R 1.0,VXI,Manual,"46,987",2nd ,Petrol,KA,"7,496",Zero Down Payment,"3,83,399"
2017,Maruti Baleno,ZETA 1.2 K12 AMT,Automatic,"22,323",2nd ,Petrol,KA,"14,133",Zero Down Payment,"7,22,899"
2014,Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"53,604",2nd ,Petrol,KA,"8,457",Zero Down Payment,"4,32,599"
2017,Maruti Dzire,ZXI Plus,Manual,"24,779",1st ,Petrol,KA,"14,320",Zero Down Payment,"7,32,499"
2018,Ford Ecosport,1.5 TDCI TITANIUM PLUS,Manual,"62,393",1st ,Diesel,KA,"18,195",Zero Down Payment,"9,68,899"
2017,Honda Jazz,1.2 V MT,Manual,"43,698",1st ,Petrol,KA,"13,120",Zero Down Payment,"6,71,099"
2017,Hyundai Grand i10,SPORTZ (O) 1.2 AT VTVT,Automatic,"28,087",2nd ,Petrol,KA,"12,545",Zero Down Payment,"6,41,699"
2020,Maruti S PRESSO,VXI PLUS,Manual,"60,458",1st ,Petrol,KA,"9,105",Zero Down Payment,"4,65,699"
2018,Tata NEXON,XZA+ 1.5 Dual Tone,Automatic,"58,806",1st ,Diesel,KA,"19,446",Zero Down Payment,"10,35,499"
2017,Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"25,878",1st ,Petrol,KA,"11,300",Zero Down Payment,"5,77,999"
2020,KIA SELTOS,1.4 GTX+ TURBO GDI PETROL AT,Automatic,"31,581",1st ,Petrol,KA,"32,677",Zero Down Payment,"17,40,099"
2017,Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"36,236",2nd ,Petrol,KA,"11,378",Zero Down Payment,"5,81,999"
2020,Maruti S PRESSO,VXI AGS,Automatic,"67,118",1st ,Petrol,KA,"9,507",Zero Down Payment,"4,86,299"
2020,Tata NEXON,XZ+ 1.2,Manual,"25,800",2nd ,Petrol,KA,"19,280",Zero Down Payment,"10,26,699"
2021,Maruti S PRESSO,VXI,Manual,"10,223",1st ,Petrol,KA,"9,752",Zero Down Payment,"4,98,799"
2018,Maruti Baleno,ALPHA 1.2K12  AT,Automatic,"34,908",1st ,Petrol,KA,"15,876",Zero Down Payment,"8,45,399"
2017,Hyundai Xcent,SX 1.2,Manual,"57,227",2nd ,Petrol,KA,"11,271",Zero Down Payment,"5,76,499"
2020,Maruti IGNIS,ALPHA 1.2 K12,Manual,"19,775",1st ,Petrol,KA,"13,411",Zero Down Payment,"6,85,999"
2017,Maruti Baleno,DELTA 1.2 K12,Manual,"55,819",2nd ,Petrol,KA,"12,211",Zero Down Payment,"6,24,599"
2020,Maruti S PRESSO,VXI PLUS,Manual,"29,041",1st ,Petrol,KA,"10,193",Zero Down Payment,"5,21,399"
2018,Hyundai NEW SANTRO,ASTA 1.1 MT,Manual,"55,868",2nd ,Petrol,KA,"11,472",Zero Down Payment,"5,86,799"
2018,Ford FREESTYLE,TITANIUM Plus 1.5 TDCI MT,Manual,"84,573",1st ,Diesel,KA,"13,464",Zero Down Payment,"6,88,699"
2020,Tata NEXON,XZ+ 1.2,Manual,"20,273",1st ,Petrol,KA,"19,971",Zero Down Payment,"10,63,499"
2017,Honda City,V MT PETROL,Manual,"63,623",1st ,Petrol,KA,"15,402",Zero Down Payment,"7,87,799"
2017,Hyundai Verna,1.6 SX VTVT,Manual,"40,952",1st ,Petrol,KA,"17,889",Zero Down Payment,"9,52,599"
2018,Hyundai Elite i20,ASTA 1.2 (O),Manual,"44,528",1st ,Petrol,KA,"15,188",Zero Down Payment,"8,08,799"
2016,Maruti Alto K10,VXI,Manual,"40,139",1st ,Petrol,KA,"6,891",Zero Down Payment,"3,52,499"
2019,Skoda Rapid,1.6 MPI STYLE AT,Automatic,"54,943",2nd ,Petrol,KA,"17,252",Zero Down Payment,"9,18,699"
2017,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"26,090",1st ,Petrol,KA,"10,758",Zero Down Payment,"5,50,299"
2017,Tata Hexa,Varicor 400 XT,Manual,"73,558",2nd ,Diesel,KA,"20,916",Zero Down Payment,"11,13,799"
2018,Hyundai Verna,1.6 SX VTVT,Manual,"23,775",1st ,Petrol,KA,"16,597",Zero Down Payment,"8,83,799"
2017,Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"27,352",1st ,Petrol,KA,"11,669",Zero Down Payment,"5,96,899"
2019,Maruti OMNI E,STD,Manual,"24,841",1st ,Petrol,KA,"6,745",Zero Down Payment,"3,44,999"
2016,Maruti S Cross,ZETA 1.3,Manual,"80,732",1st ,Diesel,KA,"14,229",Zero Down Payment,"7,27,799"
2020,Tata ALTROZ,XZ 1.2,Manual,"70,763",1st ,Petrol,KA,"15,656",Zero Down Payment,"8,33,699"
2017,Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"24,271",1st ,Petrol,KA,"11,744",Zero Down Payment,"6,00,699"
2018,Hyundai Verna,1.6 SX VTVT AT (O),Automatic,"45,545",1st ,Petrol,KA,"20,325",Zero Down Payment,"10,82,349"
2017,Hyundai Verna,1.6 SX VTVT,Manual,"48,630",1st ,Petrol,KA,"16,447",Zero Down Payment,"8,75,799"
2017,Maruti Wagon R 1.0,VXI AMT,Automatic,"59,230",1st ,Petrol,KA,"8,909",Zero Down Payment,"4,55,699"
2017,Honda Jazz,1.2 V AT,Automatic,"33,686",1st ,Petrol,KA,"14,551",Zero Down Payment,"7,44,299"
2021,Hyundai GRAND I10 NIOS,SPORTZ PETROL,Manual,"43,434",1st ,Petrol,KA,"13,982",Zero Down Payment,"7,15,199"
2019,Maruti Baleno,RS 1.0 PETROL,Manual,"33,534",2nd ,Petrol,KA,"14,412",Zero Down Payment,"7,37,199"
2018,Hyundai Verna,1.6 SX VTVT (O),Manual,"60,412",2nd ,Petrol,KA,"17,232",Zero Down Payment,"9,17,599"
2016,Maruti Alto K10,VXI AMT,Automatic,"34,863",1st ,Petrol,KA,"8,150",Zero Down Payment,"4,16,899"
2018,Hyundai Verna,1.6 SX VTVT AT (O),Automatic,"41,980",2nd ,Petrol,KA,"18,993",Zero Down Payment,"10,11,399"
2019,Ford FREESTYLE,TITANIUM 1.2 TI-VCT MT,Manual,"18,072",2nd ,Petrol,KA,"12,436",Zero Down Payment,"6,36,099"
2018,Maruti Alto K10,VXI,Manual,"41,855",2nd ,Petrol,KA,"7,036",Zero Down Payment,"3,59,899"
2017,Hyundai Verna,1.6 SX VTVT,Manual,"26,658",1st ,Petrol,KA,"15,911",Zero Down Payment,"8,47,299"
2018,Maruti Wagon R 1.0,VXI,Manual,"35,683",1st ,Petrol,KA,"9,431",Zero Down Payment,"4,82,399"
2019,Ford FREESTYLE,TITANIUM 1.2 TI-VCT MT,Manual,"20,697",2nd ,Petrol,KA,"12,246",Zero Down Payment,"6,26,399"
2018,Mahindra KUV 100 NXT,K4+ 6S,Manual,"40,676",2nd ,Petrol,KA,"8,401",Zero Down Payment,"4,29,699"
2017,Honda Jazz,1.2 V AT,Automatic,"63,713",2nd ,Petrol,KA,"13,376",Zero Down Payment,"6,84,199"
2018,Maruti Wagon R 1.0,VXI OPT,Manual,"43,796",1st ,Petrol,KA,"9,351",Zero Down Payment,"4,78,299"
2020,Skoda Rapid,STYLE 1.0TSI MT,Manual,"40,448",1st ,Petrol,KA,"22,756",Zero Down Payment,"12,11,799"
2012,Maruti Wagon R 1.0,VXI,Manual,"86,050",1st ,Petrol,KA,"6,690",Zero Down Payment,"3,42,199"
2018,Honda City,VX CVT PETROL,Automatic,"66,361",1st ,Petrol,KA,"21,335",Zero Down Payment,"11,36,099"
2011,Honda Civic,1.8V MT SUN ROOF,Manual,"25,797",1st ,Petrol,KA,"10,264",Zero Down Payment,"5,24,999"
2021,Toyota Glanza,G CVT,Automatic,"8,259",1st ,Petrol,KA,"18,736",Zero Down Payment,"9,97,699"
2017,Hyundai i20 Active,1.2 S,Manual,"43,466",1st ,Petrol,KA,"13,425",Zero Down Payment,"6,86,699"
2020,Hyundai VENUE,1.0 TURBO GDI SX+ AT,Automatic,"24,156",1st ,Petrol,KA,"22,146",Zero Down Payment,"11,79,299"
2017,Hyundai Grand i10,Sportz(O) 1.2 MT,Manual,"33,293",1st ,Petrol,KA,"11,628",Zero Down Payment,"5,94,799"
2017,Ford Ecosport,1.5 TDCI TITANIUM PLUS,Manual,"94,711",1st ,Diesel,KA,"15,122",Zero Down Payment,"7,73,499"
2016,Maruti Alto 800,LXI,Manual,"63,034",1st ,Petrol,KA,"6,444",Zero Down Payment,"3,29,599"
2018,Honda WR-V,1.2 i-VTEC S MT,Manual,"63,509",1st ,Petrol,KA,"13,106",Zero Down Payment,"6,70,399"
2018,Honda Amaze,1.2 V CVT I VTEC,Automatic,"54,792",1st ,Petrol,KA,"13,638",Zero Down Payment,"6,97,599"
2018,Tata Hexa,Varicor 400 XT,Manual,"70,910",1st ,Diesel,KA,"23,515",Zero Down Payment,"12,52,199"
2021,Toyota Glanza,G CVT,Automatic,"11,858",1st ,Petrol,KA,"18,736",Zero Down Payment,"9,97,699"
2018,Volkswagen Vento,1.2 TSI HIGHLINE PLUS AT,Automatic,"84,644",1st ,Petrol,KA,"18,294",Zero Down Payment,"9,74,199"
2017,Hyundai Verna,FLUIDIC 1.6 SX VTVT,Manual,"84,073",1st ,Petrol,KA,"15,450",Zero Down Payment,"7,90,299"
2014,Maruti Wagon R 1.0,VXI,Manual,"90,250",2nd ,Petrol,KA,"7,196",Zero Down Payment,"3,68,099"
2017,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"45,502",1st ,Petrol,KA,"10,092",Zero Down Payment,"5,16,199"
2017,Honda City,V MT PETROL,Manual,"51,913",1st ,Petrol,KA,"16,877",Zero Down Payment,"8,98,699"
2018,Toyota YARIS,V CVT,Automatic,"23,337",1st ,Petrol,KA,"20,296",Zero Down Payment,"10,80,799"
2019,Maruti Alto,VXI,Manual,"26,781",1st ,Petrol,KA,"8,113",Zero Down Payment,"4,14,999"
2018,Hyundai Elite i20,ASTA 1.2,Manual,"65,895",1st ,Petrol,KA,"14,457",Zero Down Payment,"7,39,499"
2021,Tata NEXON,XM SUNROOF 1.2 RTN,Manual,"65,146",1st ,Petrol,KA,"17,754",Zero Down Payment,"9,45,399"
2017,Honda WR-V,1.2 i-VTEC VX MT,Manual,"36,733",2nd ,Petrol,KA,"14,010",Zero Down Payment,"7,16,599"
2017,Hyundai Grand i10,SPORTZ (O) 1.2 AT VTVT,Automatic,"21,657",2nd ,Petrol,KA,"12,694",Zero Down Payment,"6,49,299"
2018,Maruti Baleno,DELTA 1.2 K12,Manual,"67,067",1st ,Petrol,KA,"11,814",Zero Down Payment,"6,04,299"
2018,Tata NEXON,XZA+ 1.5,Automatic,"74,106",1st ,Diesel,KA,"16,897",Zero Down Payment,"8,99,799"
2018,Maruti Alto K10,VXI,Manual,"63,850",1st ,Petrol,KA,"7,531",Zero Down Payment,"3,85,199"
2018,Hyundai Grand i10,SPORTZ O 1.2,Manual,"51,675",2nd ,Petrol,KA,"11,523",Zero Down Payment,"5,89,399"
2018,Toyota YARIS,G CVT,Automatic,"33,620",2nd ,Petrol,KA,"17,431",Zero Down Payment,"9,28,199"
2019,Maruti Alto K10,VXI,Manual,"40,856",2nd ,Petrol,KA,"7,851",Zero Down Payment,"4,01,599"
2018,Maruti Alto K10,VXI,Manual,"24,169",2nd ,Petrol,KA,"8,209",Zero Down Payment,"4,19,899"
2017,Hyundai i20 Active,1.2 SX,Manual,"55,247",1st ,Petrol,KA,"14,283",Zero Down Payment,"7,30,599"
2018,Maruti Wagon R 1.0,VXI OPT,Manual,"29,561",2nd ,Petrol,KA,"9,714",Zero Down Payment,"4,96,899"
2018,Renault Captur,RXT Diesel Dual Tone,Manual,"73,542",2nd ,Diesel,KA,"15,220",Zero Down Payment,"7,78,499"
2017,Maruti Alto K10,VXI (O) AMT,Automatic,"33,181",1st ,Petrol,KA,"8,498",Zero Down Payment,"4,34,699"
2018,Tata Hexa,Varicor 400 XTA,Automatic,"55,531",2nd ,Diesel,KA,"26,747",Zero Down Payment,"14,24,299"
2018,Toyota YARIS,J MT,Manual,"24,697",1st ,Petrol,KA,"16,798",Zero Down Payment,"8,94,499"
2018,Toyota YARIS,VX CVT,Automatic,"29,417",2nd ,Petrol,KA,"18,507",Zero Down Payment,"9,85,499"
2017,Honda Jazz,1.2 V AT,Automatic,"48,267",1st ,Petrol,KA,"14,602",Zero Down Payment,"7,46,899"
2017,Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"54,138",2nd ,Petrol,KA,"11,797",Zero Down Payment,"6,03,399"
2018,Tata Hexa,Varicor 400 XTA,Automatic,"76,406",1st ,Diesel,KA,"25,143",Zero Down Payment,"13,38,899"
2019,KIA SELTOS,GTK 1.4 GDI PETROL,Manual,"44,147",1st ,Petrol,KA,"26,439",Zero Down Payment,"14,07,899"
2018,Maruti Alto K10,VXI (O) AMT,Automatic,"53,412",1st ,Petrol,KA,"8,395",Zero Down Payment,"4,29,399"
2019,Renault Captur,1.5 RXL MT,Manual,"99,827",1st ,Diesel,KA,"15,350",Zero Down Payment,"8,17,399"
2018,Maruti IGNIS,ZETA 1.2 K12,Manual,"43,398",1st ,Petrol,KA,"12,100",Zero Down Payment,"6,18,899"
2020,Renault Captur,RXE diesel (MT),Manual,"49,303",1st ,Diesel,KA,"19,073",Zero Down Payment,"10,15,649"
2018,Ford FREESTYLE,TITANIUM 1.2 TI-VCT MT,Manual,"25,431",1st ,Petrol,KA,"12,799",Zero Down Payment,"6,54,699"
2019,Renault Captur,PLATINE PETROL DUAL TONE,Manual,"26,512",1st ,Petrol,KA,"20,539",Zero Down Payment,"10,93,749"
2018,Ford FREESTYLE,TITANIUM 1.2 TI-VCT MT,Manual,"43,394",2nd ,Petrol,KA,"12,440",Zero Down Payment,"6,36,299"
2017,Nissan Micra Active,XV,Manual,"58,937",2nd ,Petrol,KA,"8,579",Zero Down Payment,"4,38,799"
2018,Ford FREESTYLE,TITANIUM 1.2 TI-VCT MT,Manual,"32,183",1st ,Petrol,KA,"12,459",Zero Down Payment,"6,37,299"
2019,Renault Captur,RXT Diesel Dual Tone,Manual,"44,849",1st ,Diesel,KA,"18,319",Zero Down Payment,"9,75,499"
2011,Honda City,S MT PETROL,Manual,"70,296",2nd ,Petrol,KA,"8,311",Zero Down Payment,"4,25,099"
2014,Maruti Ertiga,VDI Anniversary Edition,Manual,"72,372",2nd ,Diesel,KA,"13,765",Zero Down Payment,"7,04,099"
2019,Maruti Swift,VXI AMT,Automatic,"21,659",2nd ,Petrol,KA,"14,694",Zero Down Payment,"7,51,599"
2018,Maruti Celerio,ZXI,Manual,"61,762",2nd ,Petrol,KA,"8,860",Zero Down Payment,"4,53,199"
2019,Tata Tiago,XZ+ 1.2 Revotron,Manual,"24,203",1st ,Petrol,KA,"12,182",Zero Down Payment,"6,23,099"
2014,Honda Amaze,1.5 EMT I DTEC,Manual,"59,929",2nd ,Diesel,KA,"8,469",Zero Down Payment,"4,33,199"
2015,Maruti Ciaz,ZXI AMT,Automatic,"43,675",2nd ,Petrol,KA,"13,711",Zero Down Payment,"7,01,299"
2018,Maruti Celerio,ZXI,Manual,"41,559",1st ,Petrol,KA,"10,064",Zero Down Payment,"5,14,799"
2019,Skoda Rapid,AMBITION 1.6 MPFI AT,Automatic,"17,067",1st ,Petrol,KA,"19,029",Zero Down Payment,"10,13,299"
2014,Maruti Celerio,VXI AMT,Automatic,"56,626",2nd ,Petrol,KA,"7,824",Zero Down Payment,"4,00,199"
2017,Maruti Dzire,ZDI Plus AMT,Automatic,"70,083",1st ,Diesel,KA,"13,720",Zero Down Payment,"7,01,799"
2021,Toyota Glanza,V CVT,Automatic,"5,572",1st ,Petrol,KA,"19,881",Zero Down Payment,"10,58,699"
2021,Maruti IGNIS,ALPHA 1.2 K12,Manual,"31,530",1st ,Petrol,KA,"13,476",Zero Down Payment,"6,89,299"
2017,Maruti IGNIS,ZETA 1.2 K12 AMT,Automatic,"61,661",1st ,Petrol,KA,"11,906",Zero Down Payment,"6,08,999"
2010,Hyundai Santro Xing,GLS,Manual,"43,166",1st ,Petrol,KA,"5,439",Zero Down Payment,"2,78,199"
2011,Maruti Ritz,VXI,Manual,"40,177",1st ,Petrol,KA,"7,916",Zero Down Payment,"4,04,899"
2010,Maruti Ritz,ZXI,Manual,"47,638",1st ,Petrol,KA,"7,288",Zero Down Payment,"3,72,799"
2015,Renault Duster,85 PS RXL,Manual,"42,983",1st ,Diesel,KA,"13,587",Zero Down Payment,"6,94,999"
2017,Hyundai Eon,ERA PLUS (O),Manual,"7,163",1st ,Petrol,KA,"7,847",Zero Down Payment,"4,01,399"
2010,Maruti Swift Dzire,VXI 1.3,Manual,"69,820",1st ,Petrol,KA,"6,930",Zero Down Payment,"3,54,449"
2021,Maruti Swift,VXI,Manual,"13,228",1st ,Petrol,KA,"13,853",Zero Down Payment,"7,08,599"
2009,Hyundai i10,SPORTZ 1.2,Manual,"98,148",2nd ,Petrol,KA,"4,856",Zero Down Payment,"2,48,399"
2010,Hyundai i20,MAGNA O 1.2,Manual,"61,270",1st ,Petrol,KA,"7,576",Zero Down Payment,"3,87,499"
2011,Honda City,S MT PETROL,Manual,"52,904",2nd ,Petrol,KA,"8,166",Zero Down Payment,"4,17,699"
2011,Hyundai Santro Xing,GL PLUS,Manual,"57,563",1st ,Petrol,KA,"6,289",Zero Down Payment,"3,21,699"
2012,Maruti A Star,VXI,Manual,"77,969",1st ,Petrol,KA,"5,454",Zero Down Payment,"2,78,999"
2014,Maruti Alto 800,LXI,Manual,"19,600",1st ,Petrol,KA,"5,822",Zero Down Payment,"2,97,799"
2011,Tata Safari,4X2 GX DICOR 2.2 VTT,Manual,"60,149",2nd ,Diesel,KA,"7,928",Zero Down Payment,"4,05,499"
2012,Hyundai Verna,FLUIDIC 1.6 SX VTVT,Manual,"39,309",1st ,Petrol,KA,"11,411",Zero Down Payment,"5,83,699"
2014,Maruti Ertiga,ZXI,Manual,"73,070",2nd ,Petrol,KA,"12,219",Zero Down Payment,"6,24,999"
2017,Maruti Swift,VDI ABS,Manual,"31,806",1st ,Diesel,KA,"12,739",Zero Down Payment,"6,51,599"
2012,Maruti Swift,VDI,Manual,"78,175",1st ,Diesel,KA,"8,932",Zero Down Payment,"4,56,899"
2010,Hyundai i20,MAGNA O 1.2,Manual,"75,484",1st ,Petrol,KA,"6,622",Zero Down Payment,"3,38,699"
2011,Maruti Alto,LXI,Manual,"72,715",1st ,Petrol,KA,"4,692",Zero Down Payment,"2,39,999"
2013,Hyundai Verna,FLUIDIC 1.6 SX VTVT,Manual,"50,715",2nd ,Petrol,KA,"11,067",Zero Down Payment,"5,66,099"
2014,Maruti Swift Dzire,ZDI,Manual,"98,003",1st ,Diesel,KA,"11,309",Zero Down Payment,"5,78,449"
2011,Toyota Etios,V,Manual,"88,127",2nd ,Petrol,KA,"7,638",Zero Down Payment,"3,90,699"
2014,Maruti Swift,ZDI,Manual,"43,210",1st ,Diesel,KA,"11,988",Zero Down Payment,"6,13,199"
2012,Maruti Alto,LXI,Manual,"30,352",1st ,Petrol,KA,"5,466",Zero Down Payment,"2,79,599"
2019,Renault Duster,RXS 106 PS MT,Manual,"60,431",1st ,Petrol,KA,"15,126",Zero Down Payment,"7,73,699"
2016,Toyota Fortuner,3.0 MT 4X2,Manual,"87,357",1st ,Diesel,KA,"38,362",Zero Down Payment,"20,42,799"
2011,Toyota Etios Liva,G,Manual,"97,157",1st ,Petrol,KA,"6,813",Zero Down Payment,"3,48,499"
2014,Maruti Swift Dzire,VXI,Manual,"76,864",1st ,Petrol,KA,"10,350",Zero Down Payment,"5,29,399"
2019,Honda WR-V,1.2 i-VTEC S MT,Manual,"18,692",1st ,Petrol,KA,"14,753",Zero Down Payment,"7,54,599"
2014,Maruti Swift Dzire,VXI,Manual,"69,716",1st ,Petrol,KA,"10,019",Zero Down Payment,"5,12,499"
2010,Ford Figo,1.2 ZXI DURATEC,Manual,"79,565",2nd ,Petrol,KA,"4,979",Zero Down Payment,"2,54,699"
2019,Maruti Celerio,ZXI,Manual,"25,790",2nd ,Petrol,KA,"9,638",Zero Down Payment,"4,92,999"
2017,Maruti Swift,ZDI,Manual,"84,738",2nd ,Diesel,KA,"11,523",Zero Down Payment,"5,89,399"
2017,Maruti Eeco,5 STR WITH AC PLUSHTR,Manual,"40,904",2nd ,Petrol,KA,"8,631",Zero Down Payment,"4,41,499"
2017,Maruti Swift,VXI OPT,Manual,"31,487",1st ,Petrol,KA,"11,488",Zero Down Payment,"5,87,599"
2017,Maruti Swift,VXI OPT,Manual,"29,025",1st ,Petrol,KA,"12,555",Zero Down Payment,"6,42,199"
2013,Maruti Swift,VDI,Manual,"54,674",1st ,Diesel,KA,"10,199",Zero Down Payment,"5,21,699"
2018,Mahindra XUV500,W10 AT,Automatic,"75,852",2nd ,Diesel,KA,"26,760",Zero Down Payment,"14,24,999"
